"","stationcode","sampleid","sampledate","oovere","mmi","csci","latitude","longitude","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Q99","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"145","905WE0679","905WE0679_05042017_BMI_RWB_1","5/4/17",0.92801724,1.24502608,1.08652166,33.13163,-116.6544,-22,0.01,0.0201,-2,-1,0.2226,-3,0,-2,0,-0.0298,0,0,-1.09,1.5,-8
"146","905WE1018","905WE1018_06092015_BMI_RWB_1","6/9/15",0.96784781,0.44184056,0.70484419,33.12423,-116.68157,-13,0.01,0.01,-2,0,0.1974,-0.5,0,-2,0,-0.0298,0,0,-1.09,1.5,-8
"147","907M23331","907M23331_06082016_BMI_RWB_1","6/8/16",0.86023158,0.68067171,0.77045165,32.84058,-116.90771,NA,NA,NA,-23,NA,NA,NA,30.967,-23,9.7165,0.0011,212,46,-0.2552,-0.2365,-46
"148","907M23367","907M23367_05292018_BMI_RWB_1","5/29/18",1.00799082,0.82843648,0.91821365,32.96335,-116.66364,38,0.396,0.1554,-79,NA,NA,NA,-0.0313,-24.5,-0.17855,0,0,0,-0.8793,-2.3668,0
"149","907S00577","907S00577_05122009_BMI_RWB_1","5/12/09",1.26180663,0.8564385,1.05912257,33.0767,-116.67455,-49,0,-0.34,-1,NA,NA,NA,0,-1,0,-6e-04,-1,0,-0.57,-3.3,-42
"150","907S01418","907S01418_05122009_BMI_RWB_1","5/12/09",1.28016597,1.16963302,1.2248995,32.99254,-116.71771,0,-0.0022,-0.0024,0,NA,NA,NA,-0.00255,0,0.0095,-5e-05,0,-48,-0.00205,-0.0016,0
"151","907S01434","907S01434_05132009_BMI_RWB_1","5/13/09",1.0880936,0.8580051,0.97304935,32.90475,-116.62501,-4,0.01,0.01,-2,0,0.2238,0,0,-2,0,-0.0298,0,0,0.01,1.5,0
"152","907S01610","907S01610_05042015_BMI_RWB_1","5/4/15",1.08364884,0.77737617,0.9305125,32.96675,-116.65275,0,-0.0111,-0.0135,0,NA,NA,NA,0.736,0,-0.011,0,0,0,-0.0071,-0.0057,0
"153","907S03210","907S03210_05182011_BMI_RWB_1","5/18/11",0.87816142,1.00570687,0.94193415,33.00312,-116.72918,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5323,NA,174,NA,NA,NA,NA
"154","907S03786","907S03786_05302012_BMI_RWB_1","5/30/12",1.20517323,1.20699832,1.20608577,32.89421,-116.65844,-7,0.01,0.01,-2,-1,0.2086,0,0,-2,0,-0.0298,0,0,0.01,1.5,-8
"155","909M24925","909M24925_05102016_BMI_RWB_1","5/10/16",1.07587691,0.59669067,0.83628379,32.83848,-116.63814,1,0.0072,0.1581,-1,NA,NA,NA,-0.505,-1,-0.2144,-5e-05,0,-0.5,0,10.6583,0.5
"156","909M24937","909M24937_06222016_BMI_RWB_1","6/22/16",0.92231154,0.83076448,0.87653801,32.81935,-116.70775,NA,NA,NA,0,NA,NA,NA,-0.30655,-18,0.458,0,-0.5,14,0,0.3384,-14.5
"157","909SSWR03","909SSWR03_04202009_BMI_RWB_1","4/20/09",0.77761683,1.00064442,0.88913062,32.83521,-116.62203,1,0.01155,0.0199,-0.5,NA,NA,NA,0.4169,-0.5,-0.1756,0.00015,0,0,0.00045,-0.754,-2
"158","909WE0662","909WE0662_06102019_BMI_RWB_1","6/10/19",0.9872586,0.63381972,0.81053916,32.89957,-116.58789,-11.5,-0.0059,-0.0209,0,NA,NA,NA,-0.01305,0,-0.0289,0,0,1.5,0.00265,0.0139,-1.5
"159","909WE0780","909WE0780_05152001_BMI_RWB_1","5/15/01",1.18991554,0.84993517,1.01992536,32.92981,-116.55901,1,0.003,0.031,-1,NA,NA,NA,0.1493,-1,0.2297,0,0,-6,0,0,0
"160","911S00538","911S00538_05052009_BMI_RWB_1","5/5/09",1.18079619,0.92886087,1.05482853,32.78123,-116.63207,0,-0.0754,-0.0077,-2,0,10.61345,-2,0.36445,-0.5,0.4878,0,-0.5,-0.5,-0.08725,0.15075,-1
"161","911S00858","911S00858_05092017_BMI_RWB_1","5/9/17",1.03707731,0.8747066,0.95589196,32.90282,-116.49337,7,0,0,0,NA,NA,NA,0.0124,0,0.162,0,85,-7,0,0,7
"162","911S01142","911S01142_04192016_BMI_RWB_1","4/19/16",1.043975,0.75510049,0.89953775,32.73547,-116.65268,0,-0.0431,-0.01435,-0.5,NA,NA,NA,0.2563,-2,0.47435,0,-0.5,-0.5,-0.05015,-0.33395,-12
"163","911S01818","911S01818_05062009_BMI_RWB_1","5/6/09",1.1338377,0.97161437,1.05272603,32.86215,-116.52037,-23,-0.02,0,-15,NA,NA,NA,0,-24,0,-0.0357,0,0,-0.62,0,-25
"164","911S02058","911S02058_05052009_BMI_RWB_1","5/5/09",1.18913156,0.90379534,1.04646345,32.76142,-116.64257,1.5,-0.0542,-0.0259,-2,NA,NA,NA,0.9427,-2,0.1123,0,-1,-3,-0.0456,0.0229,-0.5
"165","911S03354","911S03354_05052009_BMI_RWB_1","5/5/09",1.23616257,1.06459563,1.1503791,32.79112,-116.61677,NA,NA,NA,0,NA,NA,NA,4.1142,0,5.3186,-2e-04,153,6,0,0.4355,-6
"166","911S04086","911S04086_05062009_BMI_RWB_1","5/6/09",0.98181077,0.74680691,0.86430884,32.67454,-116.57777,-0.5,-0.05565,-0.0595,-8,NA,NA,NA,-0.00765,-61,-0.0042,0,-1,0.5,-0.04505,-0.12555,-4
"167","LALT501","LALT501_07032018_BMI_RWB_1","7/3/18",0.78514768,0.52379135,0.65446951,34.08009,-118.22419,-194,1.4153,5.7704,-25,-1,976.7279,-27,1629.14005,-56.5,49.5918,0,45,3,3.13765,18.64735,-12
"168","SGLT506","SGLT506_07022018_BMI_RWB_1","7/2/18",0.51148097,0.51768928,0.51458513,34.06173,-117.99129,-132,-3.4524,-4.0487,-143,0,-34.6747,-27,421.43795,-2,276.4683,-0.02445,18,18,-2.5032,-7.3075,-8.5
